standard_code,business_domain,control_topic,standard_requirement,current_source_basis,proposed_source_basis,evidence_excerpt,match_score,confidence,review_status
ORG-011,组织架构,不相容职责分离与轮岗,在确定职权和岗位分工过程中，应体现不相容职务相互分离的要求、关键岗位应有轮岗机制。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1383,第七条 企业应当对各机构的职能进行科学合理的分解，确定具体岗位的名称、职责和工作要求等，明确各个岗位的权限和相互关系。 企业在确定职权和岗位分工过程中，应当体现不相容职务相互分离的要求。不相容职务通常包括：可行性研究与决策审批；决策审批与执行；执行与监督检查等。,76,medium,verified
ORG-012,组织架构,所属企业管控,对下属子公司特别是异地、境外子公司的发展战略、年度财务预决算、重大投融资、重大担保、大额资金使用、主要资产处置、重要人事任免、内部控制体系建设等重要事项应有效监控。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1386,第十条 企业拥有子公司的，应当建立科学的投资管控制度，通过合法有效的形式履行出资人职责、维护出资人权益，重点关注子公司特别是异地、境外子公司的发展战略、年度财务预决算、重大投融资、重大担保、大额资金使用、主要资产处置、重要人事任免、内部控制体系建设等重要事项。,160,high,verified
ORG-013,组织架构,所属企业管控,针对新增业务，公司应明确分子公司经营管理层职责，确保新增业务得到适当授权审批。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1380,第四条 企业应当根据国家有关法律法规的规定，明确董事会、 监事会和经理层的职责权限、任职条件、议事规则和工作程序，确保决策、执行和监督相互分离，形成制衡。 董事会对股东（大）会负责，依法行使企业的经营决策权。可按照股东（大）会的有关决议，设立战略、审计、提名、薪酬与考核等专门委员会，明确各专门委员会的职责权限、任职资格、议事规则和工作程序，为董事会科学决策提供支持。 监事会对股东（大）会负责，监督企业董事、经理和其他高级管理人员依法履行...,19,low,needs_manual_review
ORG-014,组织架构,所属企业管控,对非全资子公司应按照章程或投资协议，履行出资人职责权限，如通过人员委派、“三会”机制实现管控。,《企业内部控制应用指引第1号——组织架构》（财会〔2010〕11号）；《中华人民共和国公司法》；沪国资委评价〔2016〕423号《关于加快市国资委系统企业内控体系建设的意见》；沪国资党委〔2017〕136号《关于市管国有企业党建工作要求写入公司章程的指导意见》；沪国资委法规〔2025〕27号《市国资委监管企业国有独资公司章程指引（2024版）》《市国资委监管企业国有控股公司章程指引（2024版）》,【0204】外规汇编\第一篇 组织治理.docx；段落1378,第二条 本指引所称组织架构，是指企业按照国家有关法律法规、股东（大）会决议和企业章程，结合本企业实际，明确股东（大）会、董事会、监事会、经理层和企业内部各层级机构设置、职责权限、人员编制、工作程序和相关要求的制度安排。,24,low,needs_manual_review
STR-001,发展战略,发展战略制定与执行,公司应制定战略管理制度，对公司发展战略规划的编制、调整、评估、考核等工作的岗位职责、审批权限、工作流程进行明确规范。,《企业内部控制应用指引第2号——发展战略》（财会〔2010〕11号）；沪国资委规创〔2025〕199号《上海市国资委监管企业主责主业管理办法》,【0204】外规汇编\第一篇 组织治理.docx；段落1393,第六条 企业应当在董事会下设立战略委员会，或指定相关机构负责发展战略管理工作，履行相应职责。 企业应当明确战略委员会的职责和议事规则，对战略委员会会议的召开程序、表决方式、提案审议、保密要求和会议记录等作出规定，确保议事过程规范透明、决策程序科学民主。 战略委员会应当组织有关部门对发展目标和战略规划进行可行性研究和科学论证，形成发展战略建议方案；必要时，可借助中介机构和外部专家的力量为其履行职责提供专业咨询意见。 战略委员会成员应当具有...,32,low,needs_manual_review
STR-002,发展战略,发展战略制定与执行,公司应编制战略规划报告，并对战略规划进行分解，制定战略实施计划。,《企业内部控制应用指引第2号——发展战略》（财会〔2010〕11号）；沪国资委规创〔2025〕199号《上海市国资委监管企业主责主业管理办法》,【0204】外规汇编\第一篇 组织治理.docx；段落1393,第六条 企业应当在董事会下设立战略委员会，或指定相关机构负责发展战略管理工作，履行相应职责。 企业应当明确战略委员会的职责和议事规则，对战略委员会会议的召开程序、表决方式、提案审议、保密要求和会议记录等作出规定，确保议事过程规范透明、决策程序科学民主。 战略委员会应当组织有关部门对发展目标和战略规划进行可行性研究和科学论证，形成发展战略建议方案；必要时，可借助中介机构和外部专家的力量为其履行职责提供专业咨询意见。 战略委员会成员应当具有...,32,low,needs_manual_review
STR-003,发展战略,定期对战略规范的实施情况进行跟踪,公司应定期对战略规范的实施情况进行跟踪，及阶段性评估，并出具评估报告。,《企业内部控制应用指引第2号——发展战略》（财会〔2010〕11号）；沪国资委规创〔2025〕199号《上海市国资委监管企业主责主业管理办法》,上海市国资委监管企业投资监督管理办法.docx；段落65,第十九条 【投资项目过程管理】监管企业应当加强投资项目过程管理，定期对实施中的投资项目进行跟踪分析，针对外部环境和项目自身情况变化，及时进行再决策。如出现影响投资目的实现的重大不利变化时，应当研究启动中止、终止或退出机制。对违规违纪行为实施全程追责，加强过程管控。对于重大投资项目，监管企业应当对阶段性进展情况开展评估，发现问题，及时调整。问题重大的应书面报告市国资委，其中，问题重大是指：（一）项目内容发生实质性改变、投资额重大调整或股权...,25,low,needs_manual_review
STR-004,发展战略,发展战略制定与执行,对战略规划进行调整的，公司应按照相关制度要求进行审核、审批。,《企业内部控制应用指引第2号——发展战略》（财会〔2010〕11号）；沪国资委规创〔2025〕199号《上海市国资委监管企业主责主业管理办法》,【0204】外规汇编\第一篇 组织治理.docx；段落1393,第六条 企业应当在董事会下设立战略委员会，或指定相关机构负责发展战略管理工作，履行相应职责。 企业应当明确战略委员会的职责和议事规则，对战略委员会会议的召开程序、表决方式、提案审议、保密要求和会议记录等作出规定，确保议事过程规范透明、决策程序科学民主。 战略委员会应当组织有关部门对发展目标和战略规划进行可行性研究和科学论证，形成发展战略建议方案；必要时，可借助中介机构和外部专家的力量为其履行职责提供专业咨询意见。 战略委员会成员应当具有...,32,low,needs_manual_review
STR-005,发展战略,发展战略制定与执行,战略规划应与经营计划、全面预算、业绩考核等工作有效衔接，从配套组织上保障战略目标实现。,《企业内部控制应用指引第2号——发展战略》（财会〔2010〕11号）；沪国资委规创〔2025〕199号《上海市国资委监管企业主责主业管理办法》,【0204】外规汇编\第一篇 组织治理.docx；段落1393,第六条 企业应当在董事会下设立战略委员会，或指定相关机构负责发展战略管理工作，履行相应职责。 企业应当明确战略委员会的职责和议事规则，对战略委员会会议的召开程序、表决方式、提案审议、保密要求和会议记录等作出规定，确保议事过程规范透明、决策程序科学民主。 战略委员会应当组织有关部门对发展目标和战略规划进行可行性研究和科学论证，形成发展战略建议方案；必要时，可借助中介机构和外部专家的力量为其履行职责提供专业咨询意见。 战略委员会成员应当具有...,26,low,needs_manual_review
HR-001,人力资源,招聘与录用,公司应制定员工招聘与退出管理制度，明确员工招聘、使用和退出管理。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,上海市人民政府关于本市改革国有企业工资决定机制的事实意见 沪府规【2019】7号.pdf；段落11,"集团的工资总额和总部的工资总额由履行出资人职责机构清 算,集团所属企业的工资总额由集团公司清算.集团公司将总部 和所属企业的工资总额清算情况汇总后,报履行出资人职责机构 和人力资源社会保障部门;人力资源社会保障部门汇总后,报告同 级政府. 四、完善企业工资内部分配管理 (九)完善企业内部工资总额管理制度.国有企业在经备案或 核准的工资总额预算内,依法依规自主决定内部工资分配.企业 应建立健全内部工资总额管理办法,根据功能性质定位、行业特...",14,low,needs_manual_review
HR-002,人力资源,薪酬管理,公司应制定薪酬管理制度，明确公司的薪酬和保险等，以保证员工的合法权益。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,【0204】外规汇编\第九篇 人事管理.docx；段落905,...福利费的财务规定与本通知不符的，以本通知为准。金融企业另有规定的，从其规定。 财政部 二○○九年十一月十二日 人力资源社会保障部、财政部关于做好国有企业津贴补贴和福利管理工作的通知 各省、自治区、直辖市及新疆生产建设兵团人力资源社会保障厅（局）、财政厅（局），中央和国家机关有关部委、直属机构，全国人大常委会办公厅，全国政协办公厅，国家监委，最高人民法院，最高人民检察院，有关民主党派中央，有关人民团体： 为贯彻落实党的二十大精神，进一步深...,18,low,needs_manual_review
HR-003,人力资源,绩效考核,公司应制定绩效管理制度，建立健全的员工绩效管理体系。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,上海市人民政府关于本市改革国有企业工资决定机制的事实意见 沪府规【2019】7号.pdf；段落12,"...急需岗位的人才倾斜,可探索对高层 次科技人才、高技能人才试行协议工资、项目工资、年薪制等分配 形式.应加强全员绩效考核,使职工工资收入与其工作业绩和实 际贡献紧密挂钩,切实做到能增能减.企业薪酬制度应向职代会 报告,经听取职工意见并修改完善后报职代会表决通过. (十一)规范企业工资列支渠道.国有企业应优化工资收入结 构,逐步实现职工收入工资化、工资货币化、发放透明化.严格清 理规范工资外收入,将所有工资性收入一律纳入工资总额管理,不 得...",21,low,needs_manual_review
HR-004,人力资源,组织职责与权限,公司应编制岗位说明书，并在说明书中对不相容岗位进行明确说明。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,上海市人民政府关于本市改革国有企业工资决定机制的事实意见 沪府规【2019】7号.pdf；段落11,"集团的工资总额和总部的工资总额由履行出资人职责机构清 算,集团所属企业的工资总额由集团公司清算.集团公司将总部 和所属企业的工资总额清算情况汇总后,报履行出资人职责机构 和人力资源社会保障部门;人力资源社会保障部门汇总后,报告同 级政府. 四、完善企业工资内部分配管理 (九)完善企业内部工资总额管理制度.国有企业在经备案或 核准的工资总额预算内,依法依规自主决定内部工资分配.企业 应建立健全内部工资总额管理办法,根据功能性质定位、行业特...",12,low,needs_manual_review
HR-005,人力资源,招聘与录用,公司应制定员工招聘与退出管理制度，明确员工招聘、使用和退出管理，其中掌握国家秘密或重要商业秘密的员工离岗的限制性规定。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,上海市人民政府关于本市改革国有企业工资决定机制的事实意见 沪府规【2019】7号.pdf；段落11,"集团的工资总额和总部的工资总额由履行出资人职责机构清 算,集团所属企业的工资总额由集团公司清算.集团公司将总部 和所属企业的工资总额清算情况汇总后,报履行出资人职责机构 和人力资源社会保障部门;人力资源社会保障部门汇总后,报告同 级政府. 四、完善企业工资内部分配管理 (九)完善企业内部工资总额管理制度.国有企业在经备案或 核准的工资总额预算内,依法依规自主决定内部工资分配.企业 应建立健全内部工资总额管理办法,根据功能性质定位、行业特...",14,low,needs_manual_review
HR-006,人力资源,三重一大集体决策,应建立符合公司章程和“三重一大”事项管理要求的经营管理人员选聘制度，明确选聘方式、程序和标准。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,企业管理人员履职待遇和业务支出规定2021 196号.pdf；段落21,(二)监管企业应根据生产经营实际，结合管理层级、资产规模，营收及利润贡献等因素分级分档确定所属企业领导人员履职待遇及业务支出各项管理要求及标准。不得简单就高或搞一刀切，上下一般粗。 所属企业（含分支机构）领导人员履职待遇，和业务支出中的各项招待活动及业务通讯费用标准，原则上不得超过监管企业副职领导人员水平。 由监管企业直接管理的子企业（含监管企业分支机构，下同） 6,15,low,needs_manual_review
HR-007,人力资源,建立津贴补贴费用支出相关制度,应建立津贴补贴费用支出相关制度，明确津贴补贴发放范围、发放标准、发放形式等关键要素。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,【0204】外规汇编\第九篇 人事管理.docx；段落906,一、加强津贴补贴管理 企业应按照国家法律和行政法规，党中央、国务院制定或批准的规范性文件以及本通知规定（以下简称国家规定），结合实际制定完善津贴补贴制度。制度内容包括津贴补贴项目名称、适用范围、确定程序、发放标准、监督办法等。 企业应结合实际不断优化调整津贴补贴设置，除国家规定明确要求必须设置的项目外，减少一般性津贴补贴设置，鼓励在技术技能和一线艰苦岗位设置科技专项津贴、技能津贴、高温津贴等津贴补贴。 企业应合理确定津贴补贴项目水平，国...,31,low,needs_manual_review
HR-008,人力资源,招聘与录用,新员工录用前应经过笔试或面试，评价表及最终面试结论应经过审核与审批。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,上海市人民政府关于本市改革国有企业工资决定机制的事实意见 沪府规【2019】7号.pdf；段落12,"...急需岗位的人才倾斜,可探索对高层 次科技人才、高技能人才试行协议工资、项目工资、年薪制等分配 形式.应加强全员绩效考核,使职工工资收入与其工作业绩和实 际贡献紧密挂钩,切实做到能增能减.企业薪酬制度应向职代会 报告,经听取职工意见并修改完善后报职代会表决通过. (十一)规范企业工资列支渠道.国有企业应优化工资收入结 构,逐步实现职工收入工资化、工资货币化、发放透明化.严格清 理规范工资外收入,将所有工资性收入一律纳入工资总额管理,不 得...",10,low,needs_manual_review
HR-009,人力资源,员工招聘退出管理,公司应明确界定关键岗位，并对预录入关键岗位人员实施背景调查。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,上海市人民政府关于本市改革国有企业工资决定机制的事实意见 沪府规【2019】7号.pdf；段落12,"[第7页] 形式,合理确定不同岗位的工资水平.应逐步理顺领导人员、管理 人员、技术人员和生产服务人员等各类岗位人员的工资分配关系, 合理拉开工资分配差距,调整不合理过高收入.工资分配应向关 键岗位、生产一线岗位和紧缺急需岗位的人才倾斜,可探索对高层 次科技人才、高技能人才试行协议工资、项目工资、年薪制等分配 形式.应加强全员绩效考核,使职工工资收入与其工作业绩和实 际贡献紧密挂钩,切实做到能增能减.企业薪酬制度应向职代会 报告,经听取职...",20,low,needs_manual_review
HR-010,人力资源,绩效考核,公司应明确外派人员的选聘范围、资格要求、汇报程序等，并对其对外派人员进行评估与考核，对不符合要求的及时进行调整。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,上海市人民政府关于本市改革国有企业工资决定机制的事实意见 沪府规【2019】7号.pdf；段落12,"[第7页] 形式,合理确定不同岗位的工资水平.应逐步理顺领导人员、管理 人员、技术人员和生产服务人员等各类岗位人员的工资分配关系, 合理拉开工资分配差距,调整不合理过高收入.工资分配应向关 键岗位、生产一线岗位和紧缺急需岗位的人才倾斜,可探索对高层 次科技人才、高技能人才试行协议工资、项目工资、年薪制等分配 形式.应加强全员绩效考核,使职工工资收入与其工作业绩和实 际贡献紧密挂钩,切实做到能增能减.企业薪酬制度应向职代会 报告,经听取职...",25,low,needs_manual_review
HR-011,人力资源,所属企业管控,公司下属分子公司高层人员离职或调岗，应对其任职期间履职情况等实施审计。,《企业内部控制应用指引第3号——人力资源》（财会〔2010〕11号）；沪府规〔2019〕7号《上海市人民政府关于本市改革国有企业工资决定机制的实施意见》；《上海市市级机关培训费管理办法》,上海市人民政府关于本市改革国有企业工资决定机制的事实意见 沪府规【2019】7号.pdf；段落11,"集团的工资总额和总部的工资总额由履行出资人职责机构清 算,集团所属企业的工资总额由集团公司清算.集团公司将总部 和所属企业的工资总额清算情况汇总后,报履行出资人职责机构 和人力资源社会保障部门;人力资源社会保障部门汇总后,报告同 级政府. 四、完善企业工资内部分配管理 (九)完善企业内部工资总额管理制度.国有企业在经备案或 核准的工资总额预算内,依法依规自主决定内部工资分配.企业 应建立健全内部工资总额管理办法,根据功能性质定位、行业特...",13,low,needs_manual_review
